SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR7701103	PRJNA486259	Burned	235	236.5	5.102766004	0.93464348	0.023843387	2.061423036	15.72049486	0.045594649
SRR7701104	PRJNA486259	Burned	292	295	5.192903483	0.914766372	0.042857143	2.061358475	21.48913381	0.064671752
SRR7701105	PRJNA486259	Burned	179	179.5	4.863639816	0.937589761	0.027579057	2.061423036	15.31235443	0.067702423
SRR7701106	PRJNA486259	Burned	155	155	4.766477366	0.945087367	0.041240921	2.061423036	13.56199238	0.075772502
SRR7701107	PRJNA486259	Burned	166	166.3333333	4.739280825	0.927091578	0.063079277	2.061373152	15.17974525	0.073383303
SRR7701108	PRJNA486259	Burned	128	128	4.543395779	0.936390651	0.052936529	2.061423036	12.72162867	0.07373288
SRR7701109	PRJNA486259	Burned	176	176	4.748629374	0.918411	0.054858079	2.061017476	17.5090845	0.081859761
SRR7701110	PRJNA486259	Burned	255	258	5.162624627	0.931669209	0.034945421	2.061423036	16.80649475	0.04691162
SRR7701111	PRJNA486259	Unburned	118	118	4.539836638	0.951611141	0.02957209	2.061423036	11.73992802	0.10028709
SRR7701112	PRJNA486259	Unburned	151	151	4.724115813	0.94156913	0.027266754	2.061423036	12.39890936	0.061800061
SRR7701113	PRJNA486259	Unburned	141	141	4.686633267	0.947031857	0.035424554	2.061423036	11.09586723	0.06348053
SRR7701114	PRJNA486259	Unburned	63	63	3.833660857	0.925304416	0.070072585	2.061423036	7.044874003	0.129682962
SRR7701115	PRJNA486259	Unburned	70	70	3.982246504	0.93733105	0.056905371	2.061423036	6.965460247	0.082997779
SRR7701116	PRJNA486259	Unburned	133	133	4.46347082	0.912710055	0.095099668	2.061345164	12.90456059	0.084496933
SRR7701117	PRJNA486259	Burned	131	131	4.545907049	0.932456011	0.035492458	2.061423036	12.37810368	0.073082431
SRR7701118	PRJNA486259	Burned	136	136	4.611058523	0.938608274	0.043034451	2.061423036	11.57663754	0.071800483
SRR7701119	PRJNA486259	Burned	201	201	4.950315904	0.933439806	0.041090555	2.061423036	16.56422318	0.060495961
SRR7701120	PRJNA486259	Burned	275	275	5.218611197	0.929112315	0.028128549	2.061423036	18.3292987	0.049025081
