BioProject	id	Heterogeneous.Selection	Homogeneous.Selection	Dispersal.Limitation	Homogenizing.Dispersal	Drift.and.Others
PRJNA486259	SRR7701104	0	0.054776642	0.623409414	0.023228661	0.298585283
PRJNA486259	SRR7701105	0.030892595	0.019634624	0.608806717	0.007731684	0.332934381
PRJNA486259	SRR7701106	0	0.055713141	0.53552374	0	0.408763118
PRJNA486259	SRR7701107	0.031210688	0.11863004	0.446198299	0.055778433	0.348182541
PRJNA486259	SRR7701108	0	0.218775941	0.281761479	0.090287409	0.409175171
PRJNA486259	SRR7701109	0.036550955	0.06179669	0.484307159	0.04448994	0.372855255
PRJNA486259	SRR7701110	0.007455354	0.189329298	0.401108598	0.084701873	0.317404877
PRJNA486259	SRR7701111	0.008616015	0.067271369	0.295762907	0.071412413	0.556937297
PRJNA486259	SRR7701112	0.007981652	0.168183613	0.228957764	0.025902496	0.568974475
PRJNA486259	SRR7701113	0.005765203	0.289079604	0.205797457	0.081371186	0.41798655
PRJNA486259	SRR7701114	0.008631539	0.169751363	0.164564244	0.118763261	0.538289594
PRJNA486259	SRR7701115	0.006395086	0.113964019	0.123800218	0.047962583	0.707878093
PRJNA486259	SRR7701116	0.007502085	0.115257033	0.38694109	0.09596792	0.394331872
PRJNA486259	SRR7701117	0.003606175	0.185275739	0.239596503	0.067397365	0.504124218
PRJNA486259	SRR7701118	0.002595005	0.068700587	0.328267127	0.020319205	0.580118075
PRJNA486259	SRR7701119	0.007769718	0.204153971	0.206711345	0.047909462	0.533455504
PRJNA486259	SRR7701120	0.004425204	0.147406175	0.268660578	0.05991735	0.519590694
PRJNA486259	SRR7701121	0.061994097	0.231060647	0.26077008	0.042565673	0.403609503
PRJNA486259	SRR7701122	0.00256614	0.16466403	0.290488271	0.022557575	0.519723985
PRJNA486259	SRR7701123	0.038289185	0.160392328	0.305317092	0.039643428	0.456357967
PRJNA486259	SRR7701124	0.011359643	0.263686678	0.306586886	0.063075845	0.355290948
PRJNA486259	SRR7701125	0.003925066	0.122109433	0.33328595	0.026286679	0.514392872
PRJNA486259	SRR7701126	0.002133082	0.156033726	0.306965825	0.029826489	0.505040877
PRJNA546006	SRR9206623	0	0.370275555	0	0	0.629724445
PRJNA546006	SRR9206628	0.005157659	0.461035715	0.180511079	0.030458218	0.32283733
PRJNA546006	SRR9206630	0	0.307269233	0.166060653	0.01318719	0.513482924
PRJNA546006	SRR9206632	0	0.393001416	0.049830453	0.006879736	0.550288395
PRJNA546006	SRR9206634	0.007655425	0.358891537	0.221209708	0.012544623	0.399698707
PRJNA546006	SRR9206638	0.008796059	0.348617075	0.130574425	0.013914726	0.498097714
PRJNA546006	SRR9206645	0.006984103	0.165825283	0.2684185	0.004395978	0.554376136
PRJNA546006	SRR9206647	0.014060775	0.237505901	0.273987108	0.004113224	0.470332992
PRJNA546006	SRR9206649	0.116284856	0.119799796	0.274651292	0.003356596	0.48590746
PRJNA546006	SRR9206651	0.030040166	0.02424927	0.075051872	0.006936422	0.86372227
PRJNA546006	SRR9206653	0.052286072	0.12162451	0.292719116	0.003461841	0.529908461
PRJNA546006	SRR9206658	0.069349925	0.187092336	0.282227886	0.020416599	0.440913254
PRJNA546006	SRR9206662	0.03353329	0.175647744	0.280314019	0.002508287	0.507996661
PRJNA546006	SRR9206666	0.028981689	0.257092423	0.308689277	0.01043185	0.394804761
PRJNA546006	SRR9206670	0.016971843	0.29688102	0.257920267	0.020282805	0.407944064
PRJNA546006	SRR9206671	0.005826604	0.153123008	0.273480557	0.009400406	0.558169425
PRJNA546006	SRR9206673	0.012952099	0.329609737	0.276019995	0.013171891	0.368246279
PRJNA546006	SRR9206677	0.011928921	0.209719821	0.278842982	0.00463653	0.494871746
PRJNA546006	SRR9206683	0.014965888	0.316212292	0.250901	0.037410606	0.380510213
PRJNA546006	SRR9206687	0.012804137	0.290384989	0.12335801	0.012110921	0.561341943
PRJNA546006	SRR9206689	0.02877377	0.297972449	0.228170071	0.002410912	0.442672798
PRJNA546006	SRR9206696	0.008035216	0.280535679	0.140792308	0.008804416	0.561832381
PRJNA546006	SRR9206700	0.005696651	0.276452417	0.068805364	0.004176351	0.644869217
PRJNA546006	SRR9206704	0.014138958	0.378634711	0.203161957	0.000451617	0.403612757
PRJNA546006	SRR9206708	0.026327301	0.316316257	0.240114794	0.011011051	0.406230597
PRJNA546006	SRR9206722	0.003954308	0.150103514	0.083146482	0.011371224	0.751424473
PRJNA546006	SRR9206726	0.006132357	0.219213708	0.231352617	0.013159867	0.530141452
PRJNA546006	SRR9206729	0.005438192	0.177401616	0.393157742	0.013003994	0.410998456
PRJNA546006	SRR9206730	0.007151808	0.268866366	0.177959286	0.004218339	0.541804201
PRJNA546006	SRR9206734	0.019726073	0.320806713	0.169435579	0.010926199	0.479105436
PRJNA546006	SRR9206738	0.006771115	0.322320289	0.174215662	0.011477112	0.485215822
PRJNA546006	SRR9206743	0.026828095	0.101029168	0.087072681	0.006110399	0.778959657
PRJNA546006	SRR9206748	0.024071262	0.221643576	0.231741839	0.017583767	0.504959556
PRJNA546006	SRR9206752	0.018111162	0.13573545	0.262466279	0.007558585	0.576128524
PRJNA546006	SRR9206754	0.026221717	0.328776845	0.294888847	0.018982395	0.331130196
PRJNA546006	SRR9206756	0.030670475	0.264826483	0.096738954	0.011659174	0.596104914
PRJNA546006	SRR9206761	0.013150739	0.306024918	0.103336401	0.005078883	0.572409061
PRJNA546006	SRR9206765	0.02802686	0.363556612	0.23507655	0.006005494	0.367334483
PRJNA546006	SRR9206768	0.091669922	0.143129582	0.230096557	0.008656315	0.526447624
PRJNA546006	SRR9206770	0.010733301	0.219049807	0.040738518	0.004284274	0.725194099
PRJNA546006	SRR9206772	0.054363963	0.154004215	0.250613734	0.016100865	0.524917223
PRJNA546006	SRR9206773	0.00987069	0.193222615	0.092973622	0.010539246	0.693393827
PRJNA546006	SRR9206775	0.040924455	0.255415982	0.136787038	0.014363002	0.552509523
PRJNA546006	SRR9206777	0.019730513	0.411023814	0.192199282	0.001329174	0.375717217
PRJNA546006	SRR9206779	0.015531125	0.256106298	0.241868538	0.004731283	0.481762755
PRJNA546006	SRR9206787	0.003250195	0.259012263	0.101806968	0.013284505	0.622646069
PRJNA546006	SRR9206790	0.031319721	0.346771359	0.218483943	0.009387903	0.394037074
PRJNA546006	SRR9206794	0.006020261	0.352690991	0.130463541	0.008762354	0.502062852
PRJNA546006	SRR9206796	0.013328032	0.319571137	0.150068529	0.005865106	0.511167196
PRJNA546006	SRR9206799	0.019653711	0.214156054	0.359486506	0.006025401	0.400678328
PRJNA546006	SRR9206801	0.027598755	0.250258393	0.184164575	0.008668561	0.529309716
PRJNA546006	SRR9206803	0.009005049	0.305186978	0.21893355	0.010128375	0.456746048
PRJNA546006	SRR9206806	0.034433082	0.130091743	0.226666751	0.007904267	0.600904156
PRJNA546006	SRR9206807	0.019679548	0.323347611	0.288214274	0.00670273	0.362055837
