SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR9206618	PRJNA546006	Unburned	80	80	3.505816186	0.800044472	0.105614373	2.061423036	33.41107369	0.190763142
SRR9206622	PRJNA546006	Unburned	45	45	3.061418946	0.804226525	0.142857143	2.061423036	24.12660524	0.501058677
SRR9206629	PRJNA546006	Unburned	92	92	3.434542986	0.759554085	0.218542021	2.061259529	41.25326386	0.210277269
SRR9206631	PRJNA546006	Unburned	49	49	2.635806213	0.677268222	0.268051841	2.061423036	27.0321322	0.71852846
SRR9206633	PRJNA546006	Unburned	100	100	3.532787098	0.767134971	0.100081622	2.061423036	46.16151062	0.330848478
SRR9206635	PRJNA546006	Burned	99	99	3.647194418	0.793710401	0.169359594	2.061423036	40.37119694	0.246267322
SRR9206639	PRJNA546006	Burned	84	84	3.255099725	0.734650037	0.212604001	2.060624304	41.77976553	0.495744564
SRR9206644	PRJNA546006	Burned	56	56	2.877009713	0.714722572	0.230633301	2.060516996	26.44246294	0.174360238
SRR9206646	PRJNA546006	Burned	80	80	2.937708666	0.670399546	0.333781673	2.061206307	43.01752429	0.263499854
SRR9206648	PRJNA546006	Burned	50	50	2.270103404	0.580288869	0.357263935	2.057767072	29.54363779	0.168783239
SRR9206652	PRJNA546006	Burned	86	86	3.171036756	0.711897063	0.255292799	2.061235721	43.48087899	0.230702878
SRR9206657	PRJNA546006	Unburned	67	67	3.312957117	0.787918979	0.199170455	2.061113001	27.12799873	0.286485409
SRR9206661	PRJNA546006	Unburned	70	70	2.372182635	0.558358313	0.509929024	2.061139258	31.08028797	0.683625986
SRR9206665	PRJNA546006	Unburned	69	69	3.057554215	0.722125013	0.206031019	2.059908891	25.97501778	0.225912974
SRR9206669	PRJNA546006	Unburned	70	70	2.74974505	0.647227993	0.270145357	2.060850411	31.41877203	0.957080715
SRR9206672	PRJNA546006	Burned	37	37	2.211360585	0.612409542	0.398572278	2.059279153	21.79882155	0.312861738
SRR9206674	PRJNA546006	Burned	52	52	2.069021707	0.523638088	0.356121023	2.05929649	31.95350921	0.289251026
SRR9206675	PRJNA546006	Burned	50	50	2.024208327	0.517432624	0.548369985	2.060862409	30.10673496	0.851374243
SRR9206678	PRJNA546006	Unburned	46	46	2.600685533	0.679271121	0.265787833	2.058686977	26.17416142	0.43159476
SRR9206684	PRJNA546006	Unburned	77	77	3.451953106	0.794684101	0.090027818	2.061423036	34.39124123	0.345145205
SRR9206688	PRJNA546006	Unburned	52	52	3.538257794	0.895479511	0.071622539	2.061423036	28.14000285	0.551288261
SRR9206690	PRJNA546006	Unburned	12	12	1.980572611	0.797041052	0.36870229	2.061423036	7.558210892	0.874268527
SRR9206695	PRJNA546006	Burned	62	62	2.268341741	0.549616642	0.402737453	2.060688357	34.33844285	0.118273249
SRR9206699	PRJNA546006	Burned	49	49	3.011434202	0.773785522	0.190323668	2.061423036	25.26872757	0.640864292
SRR9206703	PRJNA546006	Burned	68	68	2.8715191	0.680534153	0.157699115	2.054696035	30.59720769	0.257476202
SRR9206707	PRJNA546006	Burned	61	61	2.663457701	0.647905479	0.374938905	2.061048248	30.79170294	0.766853127
SRR9206721	PRJNA546006	Burned	38	38	2.422504376	0.66596481	0.316090364	2.057363892	24.76649272	0.485675129
