BioProject	id	Heterogeneous.Selection	Homogeneous.Selection	Dispersal.Limitation	Homogenizing.Dispersal	Drift.and.Others
PRJNA546006	SRR9206622	0	0.095732337	0.687910217	0.003127086	0.21323036
PRJNA546006	SRR9206629	0.000626311	0.342551932	0.443538963	0.001866648	0.211416147
PRJNA546006	SRR9206631	0.002117175	0.1186396	0.566975374	0.003517782	0.308750068
PRJNA546006	SRR9206633	0.001029753	0.214275686	0.553890285	0.006632655	0.224171621
PRJNA546006	SRR9206635	0.035897026	0.10081587	0.724418918	0.013437325	0.125430861
PRJNA546006	SRR9206639	0.003062257	0.221227021	0.566483554	0.002348363	0.206878805
PRJNA546006	SRR9206644	0.073275155	0.05369343	0.250556264	0.000527406	0.621947745
PRJNA546006	SRR9206646	0.087245499	0.03795209	0.506790678	0.001080643	0.36693109
PRJNA546006	SRR9206648	0.026108439	0.074783994	0.202059653	6.99E-05	0.696977979
PRJNA546006	SRR9206652	0.01543697	0.039693453	0.353872567	0.002584523	0.588412486
PRJNA546006	SRR9206657	0.052670369	0.085955225	0.409242423	0.000383025	0.451748958
PRJNA546006	SRR9206661	0.049200261	0.170764683	0.479419609	0.001645584	0.298969864
PRJNA546006	SRR9206665	0.053396938	0.097791769	0.500006341	0.002808539	0.345996413
PRJNA546006	SRR9206669	0.033707976	0.113798017	0.557140089	0.004571896	0.290782022
PRJNA546006	SRR9206672	0.019759327	0.080400655	0.179629931	0.001163695	0.719046392
PRJNA546006	SRR9206674	0	0.126315783	0.19515096	0.000545041	0.677988216
PRJNA546006	SRR9206675	0.016932689	0.044812291	0.578804503	0.002819973	0.356630544
PRJNA546006	SRR9206678	0.046988196	0.079530001	0.479048523	0.001298805	0.393134475
PRJNA546006	SRR9206684	0.00613833	0.112479472	0.555702659	0.002220553	0.323458987
PRJNA546006	SRR9206688	0.045278625	0.037287304	0.528538952	0.000764659	0.38813046
PRJNA546006	SRR9206690	0.0637674	0.109841941	0.26611696	0.001266242	0.559007457
PRJNA546006	SRR9206695	0.022999753	0.196668637	0.234020398	0.001797192	0.544514019
PRJNA546006	SRR9206699	0.018754187	0.108481643	0.323231114	0.001867811	0.547665245
PRJNA546006	SRR9206703	0.037300866	0.101493889	0.324193581	0.000912837	0.536098827
PRJNA546006	SRR9206707	0.006363944	0.099048651	0.529440383	0.000370644	0.364776379
PRJNA546006	SRR9206721	0.024298246	0.183753932	0.288633352	0.003406508	0.499907962
PRJNA546006	SRR9206725	0.026947618	0.134404456	0.326088702	0.000736679	0.511822545
PRJNA546006	SRR9206728	0.045311424	0.07851873	0.27272804	0.003512453	0.599929353
PRJNA546006	SRR9206731	0.01475703	0.151841345	0.281136337	0.001451505	0.550813784
PRJNA546006	SRR9206735	0.022499267	0.101863172	0.502354297	0.001098822	0.372184442
